date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,district
2026-02-06,25.07,28.19,23.12,85.45,9.24,Colombo
2026-02-07,25.34,28.01,23.67,85.39,2.2,Colombo
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-11,24.21,27.91,20.7,77.4,0.09,Colombo
2026-02-12,24.64,27.61,22.4,84.11,2.02,Colombo
2026-02-13,25.09,28.4,23.01,82.67,2.24,Colombo
2026-02-14,24.84,27.81,22.9,85.45,8.74,Colombo
2026-02-15,24.98,27.81,22.95,82.23,1.19,Colombo
2026-02-16,24.96,28.33,22.14,78.73,0.01,Colombo
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Colombo
2026-02-06,25.07,28.19,23.12,85.45,9.24,Gampaha
2026-02-07,25.34,28.01,23.67,85.39,2.2,Gampaha
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-11,24.21,27.91,20.7,77.4,0.09,Gampaha
2026-02-12,24.64,27.61,22.4,84.11,2.02,Gampaha
2026-02-13,25.09,28.4,23.01,82.67,2.24,Gampaha
2026-02-14,24.84,27.81,22.9,85.45,8.74,Gampaha
2026-02-15,24.98,27.81,22.95,82.23,1.19,Gampaha
2026-02-16,24.96,28.33,22.14,78.73,0.01,Gampaha
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Gampaha
2026-02-06,25.76,27.93,24.05,84.58,6.16,Kalutara
2026-02-07,26.02,28.54,24.03,85.14,4.9,Kalutara
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-11,24.75,27.0,22.16,77.43,0.04,Kalutara
2026-02-12,25.65,28.18,23.32,82.08,2.97,Kalutara
2026-02-13,25.9,28.64,23.32,81.24,2.79,Kalutara
2026-02-14,25.61,28.13,23.5,83.81,11.91,Kalutara
2026-02-15,25.38,27.18,23.49,83.54,3.07,Kalutara
2026-02-16,25.58,27.91,23.05,78.93,0.0,Kalutara
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Kalutara
2026-02-06,22.82,25.62,21.51,93.04,11.49,Kandy
2026-02-07,23.16,25.7,21.29,92.3,6.09,Kandy
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-11,21.48,25.88,17.14,86.45,0.36,Kandy
2026-02-12,22.14,24.63,20.55,94.05,3.7,Kandy
2026-02-13,22.96,26.21,21.2,89.7,3.8,Kandy
2026-02-14,22.79,25.17,21.24,92.88,6.6,Kandy
2026-02-15,22.67,25.67,20.87,88.35,0.29,Kandy
2026-02-16,22.73,26.78,19.85,84.6,0.08,Kandy
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Kandy
2026-02-06,22.82,25.62,21.51,93.04,11.49,Matale
2026-02-07,23.16,25.7,21.29,92.3,6.09,Matale
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-11,21.48,25.88,17.14,86.45,0.36,Matale
2026-02-12,22.14,24.63,20.55,94.05,3.7,Matale
2026-02-13,22.96,26.21,21.2,89.7,3.8,Matale
2026-02-14,22.79,25.17,21.24,92.88,6.6,Matale
2026-02-15,22.67,25.67,20.87,88.35,0.29,Matale
2026-02-16,22.73,26.78,19.85,84.6,0.08,Matale
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Matale
2026-02-06,22.48,25.54,20.96,91.71,8.2,Nuwara Eliya
2026-02-07,22.65,25.62,20.72,92.76,6.35,Nuwara Eliya
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-11,21.2,26.09,16.44,85.07,0.14,Nuwara Eliya
2026-02-12,21.93,25.3,19.92,91.48,4.18,Nuwara Eliya
2026-02-13,22.43,26.46,20.24,88.6,3.83,Nuwara Eliya
2026-02-14,22.28,25.52,20.86,92.24,10.32,Nuwara Eliya
2026-02-15,22.26,25.61,20.33,89.33,1.98,Nuwara Eliya
2026-02-16,21.91,25.75,18.69,86.81,0.04,Nuwara Eliya
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Nuwara Eliya
2026-02-06,26.58,27.75,25.53,82.11,4.58,Galle
2026-02-07,26.87,28.34,25.3,82.5,7.45,Galle
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-11,26.07,26.83,25.02,72.14,0.01,Galle
2026-02-12,26.83,27.87,25.78,76.67,2.52,Galle
2026-02-13,26.86,28.11,25.44,77.52,2.42,Galle
2026-02-14,26.67,27.95,25.57,80.26,8.59,Galle
2026-02-15,26.26,26.77,25.49,80.71,3.75,Galle
2026-02-16,26.53,27.53,25.37,76.77,0.17,Galle
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Galle
2026-02-06,26.2,28.79,24.42,82.49,5.76,Matara
2026-02-07,26.52,29.28,24.55,82.54,8.53,Matara
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-11,25.61,27.87,23.08,74.69,0.01,Matara
2026-02-12,26.45,28.92,24.45,77.76,3.19,Matara
2026-02-13,26.33,28.68,24.11,78.45,3.91,Matara
2026-02-14,26.25,29.09,24.48,81.11,8.3,Matara
2026-02-15,25.68,27.34,24.31,82.19,5.29,Matara
2026-02-16,25.57,27.36,24.09,80.12,1.33,Matara
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Matara
2026-02-06,26.3,27.86,25.11,83.51,3.65,Hambantota
2026-02-07,26.75,28.16,25.75,82.56,6.53,Hambantota
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-11,26.23,28.52,23.99,76.23,0.13,Hambantota
2026-02-12,26.87,28.91,25.32,79.05,1.96,Hambantota
2026-02-13,26.61,28.4,25.17,80.31,2.66,Hambantota
2026-02-14,26.63,28.68,25.29,81.42,5.53,Hambantota
2026-02-15,26.33,27.97,25.01,81.54,9.14,Hambantota
2026-02-16,25.52,26.36,24.88,83.08,6.72,Hambantota
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Hambantota
2026-02-06,25.93,26.99,25.1,79.64,0.82,Jaffna
2026-02-07,25.82,26.95,25.13,79.37,0.62,Jaffna
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-11,25.23,26.65,23.9,74.35,0.16,Jaffna
2026-02-12,25.32,26.31,24.71,84.47,5.81,Jaffna
2026-02-13,26.04,27.51,24.94,82.59,1.3,Jaffna
2026-02-14,26.11,27.55,25.03,79.55,0.74,Jaffna
2026-02-15,25.7,27.04,24.58,80.51,0.02,Jaffna
2026-02-16,25.79,27.54,24.45,77.61,0.0,Jaffna
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Jaffna
2026-02-06,26.03,26.88,25.32,79.23,1.19,Kilinochchi
2026-02-07,25.96,26.91,25.39,78.83,0.74,Kilinochchi
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-11,25.3,26.48,24.11,74.32,0.26,Kilinochchi
2026-02-12,25.48,26.66,24.97,85.01,9.21,Kilinochchi
2026-02-13,26.13,27.34,25.24,81.6,1.36,Kilinochchi
2026-02-14,26.27,27.47,25.42,78.33,0.78,Kilinochchi
2026-02-15,25.81,26.89,24.95,78.9,0.01,Kilinochchi
2026-02-16,25.81,27.22,24.76,76.34,0.0,Kilinochchi
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Kilinochchi
2026-02-06,25.34,26.87,24.14,82.54,1.02,Mannar
2026-02-07,25.11,26.41,24.23,83.86,1.03,Mannar
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-11,24.5,26.84,22.31,77.09,0.18,Mannar
2026-02-12,24.59,26.06,23.49,88.36,5.58,Mannar
2026-02-13,25.56,27.88,23.87,84.11,1.34,Mannar
2026-02-14,25.61,27.68,24.14,82.03,1.4,Mannar
2026-02-15,25.13,27.21,23.52,82.56,0.01,Mannar
2026-02-16,25.07,27.86,22.95,80.85,0.03,Mannar
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Mannar
2026-02-06,24.81,26.72,23.46,84.43,2.62,Vavuniya
2026-02-07,24.62,26.22,23.5,85.89,1.34,Vavuniya
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-11,23.83,26.57,21.19,79.26,0.21,Vavuniya
2026-02-12,24.1,26.52,22.99,91.07,9.65,Vavuniya
2026-02-13,25.04,27.74,23.24,84.82,2.55,Vavuniya
2026-02-14,25.21,27.65,23.63,82.32,1.62,Vavuniya
2026-02-15,24.64,26.92,23.0,82.42,0.01,Vavuniya
2026-02-16,24.48,27.6,22.42,81.09,0.04,Vavuniya
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Vavuniya
2026-02-06,26.03,26.88,25.32,79.23,1.19,Mullaitivu
2026-02-07,25.96,26.91,25.39,78.83,0.74,Mullaitivu
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-11,25.3,26.48,24.11,74.32,0.26,Mullaitivu
2026-02-12,25.48,26.66,24.97,85.01,9.21,Mullaitivu
2026-02-13,26.13,27.34,25.24,81.6,1.36,Mullaitivu
2026-02-14,26.27,27.47,25.42,78.33,0.78,Mullaitivu
2026-02-15,25.81,26.89,24.95,78.9,0.01,Mullaitivu
2026-02-16,25.81,27.22,24.76,76.34,0.0,Mullaitivu
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Mullaitivu
2026-02-06,25.6,25.94,25.08,86.4,9.88,Batticaloa
2026-02-07,26.39,27.39,25.71,81.01,1.47,Batticaloa
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-11,25.7,26.89,24.33,79.14,0.95,Batticaloa
2026-02-12,26.35,27.19,25.57,82.14,9.43,Batticaloa
2026-02-13,26.17,26.93,25.39,82.8,13.06,Batticaloa
2026-02-14,26.18,27.41,25.35,83.78,23.25,Batticaloa
2026-02-15,26.22,27.36,25.32,80.14,3.6,Batticaloa
2026-02-16,26.15,27.44,25.29,78.56,0.08,Batticaloa
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Batticaloa
2026-02-06,25.6,25.94,25.08,86.4,9.88,Ampara
2026-02-07,26.39,27.39,25.71,81.01,1.47,Ampara
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-11,25.7,26.89,24.33,79.14,0.95,Ampara
2026-02-12,26.35,27.19,25.57,82.14,9.43,Ampara
2026-02-13,26.17,26.93,25.39,82.8,13.06,Ampara
2026-02-14,26.18,27.41,25.35,83.78,23.25,Ampara
2026-02-15,26.22,27.36,25.32,80.14,3.6,Ampara
2026-02-16,26.15,27.44,25.29,78.56,0.08,Ampara
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Ampara
2026-02-06,25.29,26.37,24.17,86.59,14.33,Trincomalee
2026-02-07,25.85,27.26,24.88,81.78,1.31,Trincomalee
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-11,25.07,27.03,23.03,77.2,0.3,Trincomalee
2026-02-12,25.36,26.78,24.23,85.55,11.2,Trincomalee
2026-02-13,25.74,27.61,24.5,83.28,8.8,Trincomalee
2026-02-14,25.79,27.59,24.43,83.65,9.31,Trincomalee
2026-02-15,25.49,26.96,24.45,79.63,0.03,Trincomalee
2026-02-16,25.58,27.6,24.09,77.02,0.04,Trincomalee
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-19,-999.0,-999.0,-999.0,-999.0,-999.0,Trincomalee
2026-02-06,22.82,25.62,21.51,93.04,11.49,Kurunegala
2026-02-07,23.16,25.7,21.29,92.3,6.09,Kurunegala
2026-02-08,-999.0,-999.0,-999.0,-999.0,-999.0,Kurunegala
2026-02-09,-999.0,-999.0,-999.0,-999.0,-999.0,Kurunegala
2026-02-10,-999.0,-999.0,-999.0,-999.0,-999.0,Kurunegala
2026-02-11,21.48,25.88,17.14,86.45,0.36,Kurunegala
2026-02-12,22.14,24.63,20.55,94.05,3.7,Kurunegala
2026-02-13,22.96,26.21,21.2,89.7,3.8,Kurunegala
2026-02-14,22.79,25.17,21.24,92.88,6.6,Kurunegala
2026-02-15,22.67,25.67,20.87,88.35,0.29,Kurunegala
2026-02-16,22.73,26.78,19.85,84.6,0.08,Kurunegala
2026-02-17,-999.0,-999.0,-999.0,-999.0,-999.0,Kurunegala
2026-02-18,-999.0,-999.0,-999.0,-999.0,-999.0,Kurunegala
