date,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,district
2026-02-19,32.81,32.81,30.99,54,0.0,Colombo
2026-02-19,22.53,22.53,22.53,67,0.18,Gampaha
2026-02-19,32.65,32.65,32.65,49,0.11,Kalutara
2026-02-19,27.51,27.51,27.51,62,0.0,Kandy
2026-02-19,26.89,26.89,26.89,75,0.55,Matale
2026-02-19,19.17,19.17,19.17,66,0.54,Nuwara Eliya
2026-02-19,27.34,27.34,27.34,80,0.4,Galle
2026-02-19,27.48,27.48,27.48,79,0.0,Matara
2026-02-19,30.18,30.18,30.18,70,0.0,Hambantota
2026-02-19,26.14,26.14,26.14,76,0.0,Jaffna
2026-02-19,28.68,28.68,28.68,64,0.0,Kilinochchi
2026-02-19,27.56,27.56,27.56,70,0.0,Mannar
2026-02-19,27.36,27.36,27.36,63,0.0,Vavuniya
2026-02-19,26.59,26.59,26.59,79,0.25,Mullaitivu
2026-02-19,26.8,26.8,26.8,81,0.85,Batticaloa
2026-02-19,27.13,27.13,27.13,83,1.0,Ampara
2026-02-19,26.4,26.4,26.4,78,0.0,Trincomalee
2026-02-19,27.38,27.38,27.38,68,0.0,Kurunegala
2026-02-19,29.19,29.19,29.19,64,0.0,Puttalam
2026-02-19,29.19,29.19,29.19,57,0.0,Anuradhapura
2026-02-19,27.76,27.76,27.76,76,0.87,Polonnaruwa
2026-02-19,25.8,25.8,25.8,78,0.62,Badulla
2026-02-19,28.08,28.08,28.08,70,0.22,Monaragala
2026-02-19,32.85,32.85,32.85,51,0.35,Ratnapura
2026-02-19,24.78,24.78,24.78,74,0.23,Kegalle
