feature,mean_abs_shap_value
target_roll_mean_12,0.7840039
target_roll_mean_8,0.74402034
district_week_mean,0.647532
target_roll_mean_4,0.63943404
target_roll_mean_2,0.34858623
ratio_to_seasonal,0.15062156
target_lag_8,0.12941633
target_lag_12,0.11066085
target_roll_min_2,0.10346207
target_roll_max_2,0.09274162
target_roll_max_12,0.08230383
target_roll_max_4,0.06429687
late_dist_mean,0.06310154
target_roll_min_8,0.061486535
target_lag_3,0.061032172
target_roll_max_8,0.057977155
sin_week,0.05411499
excess_over_seasonal,0.051126804
target_lag_1,0.0499642
RH2M_avg_lag_6,0.04553226
target_roll_min_12,0.04126966
target_roll_min_4,0.03723969
target_lag_6,0.037006088
rain_hum_lag2,0.03518956
week_number,0.032505777
target_lag_5,0.030207276
target_roll_std_12,0.029386492
target_roll_std_4,0.027974797
RH2M_avg_lag_2,0.023388099
PRECTOTCORR_avg_lag_5,0.02088973
cos_week,0.019320125
target_roll_std_8,0.018669685
PRECTOTCORR_avg_lag_6,0.017741414
PRECTOTCORR_min,0.017250368
target_lag_4,0.016721448
target_trend_4,0.016612828
RH2M_max,0.016476393
T2M_avg_lag_6,0.015506796
cum_rain_8w,0.014130285
T2M_avg_lag_4,0.014123252
rain_humidity,0.0139047345
T2M_avg_lag_1,0.013304693
rain_temp,0.012084375
RH2M_avg_lag_3,0.011679804
T2M_MAX_max,0.011218418
T2M_max,0.010725889
rain_hum_lag1,0.01050579
T2M_min,0.010104596
heat_humidity,0.009620559
T2M_avg,0.009115968
PRECTOTCORR_avg_lag_1,0.008469297
T2M_MIN_max,0.008006974
month,0.007901034
T2M_avg_lag_5,0.00784613
target_accel,0.0074399095
target_lag_2,0.005039102
