feature,mean_abs_shap_value
district_week_mean,0.1631498
target_roll_mean_12,0.060196627
target_roll_std_12,0.043871854
late_dist_mean,0.023455938
target_roll_mean_8,0.022725318
target_roll_mean_4,0.021914626
target_roll_max_12,0.015402367
target_roll_mean_2,0.011291199
target_roll_std_8,0.008976904
ratio_to_seasonal,0.008940575
target_roll_max_8,0.007487634
excess_over_seasonal,0.004242292
target_roll_max_2,0.0034710895
target_lag_1,0.0020041335
T2M_MIN_max,0.0017613485
target_roll_max_4,0.0013060623
target_lag_3,0.0012730946
T2M_MIN_min,0.00089363044
target_roll_min_2,0.0004881381
T2M_MIN_avg,0.0002930378
sin_week,0.00028306674
RH2M_avg_lag_2,8.028916e-05
cum_rain_8w,3.966077e-05
T2M_avg_lag_5,2.1041398e-05
T2M_min,3.3045806e-06
T2M_MAX_max,6.707041e-07
target_trend_4,2.774148e-07
target_trend_8,1.0638587e-08
PRECTOTCORR_avg_lag_3,0.0
PRECTOTCORR_avg,0.0
RH2M_avg_lag_3,0.0
T2M_avg_lag_3,0.0
PRECTOTCORR_avg_lag_5,0.0
heat_humidity,0.0
temp_range,0.0
PRECTOTCORR_avg_lag_4,0.0
cos_week,0.0
PRECTOTCORR_min,0.0
T2M_MAX_min,0.0
district_enc,0.0
