district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,PRECTOTCORR_avg_lag_1,PRECTOTCORR_avg_lag_2,PRECTOTCORR_avg_lag_3,PRECTOTCORR_avg_lag_4,PRECTOTCORR_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_1,T2M_avg_lag_2,T2M_avg_lag_3,T2M_avg_lag_4,T2M_avg_lag_5,T2M_avg_lag_6,RH2M_avg_lag_1,RH2M_avg_lag_2,RH2M_avg_lag_3,RH2M_avg_lag_4,RH2M_avg_lag_5,RH2M_avg_lag_6,target
Ampara,248,2024-09-28,2024-10-04, 2024-09-28 to 2024-10-04,29.67,27.61,28.69,32.77,28.96,30.95285714,27.46,26.34,26.97857143,82.58,73.7,79.61285714,9.74,1.21,4.121428571,9,False,False,True,39,-1.0,-1.84e-16,2.457142857,0.432857143,1.582857143,1.57,1.532857143,4.744285714,30.04428571,30.23,29.89714286,29.46428571,29.55428571,28.79285714,70.97,70.00714286,72.94857143,73.61428571,72.79714286,78.72714286,0
Gampaha,223,2024-04-06,2024-04-12, 2024-04-06 to 2024-04-12,29.65,27.92,29.01428571,34.02,30.92,32.54571429,27.08,25.04,26.35428571,83.04,69.1,77.29571429,23.79,0.45,5.317142857,4,False,False,False,14,0.992708874,-0.12053668,4.514285714,3.564285714,3.978571429,0.207142857,0.497142857,0.86,28.65571429,28.48571429,27.91285714,27.65857143,27.33571429,27.45142857,78.04285714,76.0,72.46714286,72.03285714,75.05857143,79.47,0
Matale,185,2023-07-15,2023-07-21, 2023-07-15 to 2023-07-21,26.59,26.11,26.35571429,31.05,29.41,30.32571429,24.31,23.64,23.95571429,82.26,77.44,80.45142857,1.65,0.04,0.581428571,7,False,False,True,28,-0.239315664,-0.970941817,0.525714286,4.042857143,2.788571429,2.257142857,1.725714286,1.264285714,26.20142857,25.13714286,25.79428571,26.10285714,26.34,26.27857143,80.70428571,85.05714286,84.71285714,83.96285714,84.67571429,84.66285714,0
Kandy,153,2022-12-03,2022-12-09, 2022-12-03 to 2022-12-09,23.84,21.31,22.88285714,28.15,23.98,26.37142857,21.44,19.04,20.32142857,93.28,84.83,89.84142857,15.2,1.41,7.614285714,12,False,True,False,48,-0.464723172,0.885456026,4.472857143,0.441428571,10.73714286,14.39,15.35285714,5.975714286,24.08428571,23.42714286,23.25142857,23.83428571,24.41714286,24.37142857,87.04714286,87.58857143,89.90571429,91.30714286,88.47428571,86.22428571,1
Jaffna,186,2023-07-22,2023-07-28, 2023-07-22 to 2023-07-28,29.7,28.87,29.18142857,31.88,30.08,30.69,28.25,27.53,27.90714286,77.65,71.56,75.43857143,1.77,0.06,0.492857143,7,False,False,True,29,-0.354604887,-0.935016243,0.202857143,2.13,0.412857143,0.47,1.665714286,0.302857143,29.49714286,29.26142857,29.12571429,29.19714286,29.46285714,30.08857143,77.02571429,76.29142857,75.69142857,78.47142857,78.23,77.15285714,0
Kandy,13,2020-03-28,2020-04-03, 2020-03-28 to 2020-04-03,28.27,26.82,27.41571429,36.84,35.62,36.18571429,22.34,18.98,20.50714286,71.04,63.44,66.08714286,4.17,0.01,0.861428571,3,False,False,False,13,1.0,-1.61e-16,0.528571429,0.992857143,0.8,0.717142857,0.46,1.982857143,26.85714286,26.92,26.1,25.47714286,24.60428571,23.65714286,66.49285714,73.18428571,73.52571429,75.11285714,84.28571429,84.49714286,0
Anuradhapura,201,2023-11-04,2023-11-10, 2023-11-04 to 2023-11-10,26.47,25.26,25.99714286,30.73,26.76,29.23428571,24.22,23.37,23.66142857,94.35,83.98,88.52142857,79.06,5.1,24.30428571,11,True,False,False,44,-0.822983866,0.568064747,13.61285714,6.727142857,15.88857143,15.17428571,4.435714286,1.821428571,26.28285714,26.50857143,26.28714286,27.40428571,28.06857143,28.10571429,86.24285714,84.20857143,86.60571429,82.03142857,75.43,75.01142857,0
Batticaloa,136,2022-08-06,2022-08-12, 2022-08-06 to 2022-08-12,28.91,27.76,28.16857143,31.93,30.43,31.17571429,26.19,25.19,25.75142857,77.62,74.52,76.05428571,0.88,0.0,0.21,8,False,False,True,31,-0.568064747,-0.822983866,7.234285714,3.681428571,3.795714286,1.608571429,1.248571429,0.48,27.60857143,28.14428571,28.66714286,28.15,28.22857143,28.50428571,79.30285714,77.02,77.64142857,75.33714286,77.89571429,78.28142857,0
Nuwara Eliya,205,2023-12-02,2023-12-08, 2023-12-02 to 2023-12-08,23.57,22.52,22.99714286,27.33,24.0,25.69,21.7,19.6,21.04428571,96.58,88.86,93.55857143,25.47,5.87,11.97,12,False,True,False,48,-0.464723172,0.885456026,9.118571429,18.54714286,10.97714286,19.03142857,16.12428571,12.02142857,22.44714286,23.33571429,23.07571429,22.96714286,22.94714286,22.86428571,91.49142857,88.95428571,92.27714286,89.55142857,89.95,89.35857143,0
Batticaloa,251,2024-10-19,2024-10-25, 2024-10-19 to 2024-10-25,28.88,28.03,28.47857143,31.23,28.92,29.90428571,27.6,26.59,27.20571429,86.3,75.8,79.75857143,9.69,1.86,5.545714286,10,True,False,False,42,-0.935016243,0.354604887,10.43,18.97571429,4.121428571,2.457142857,0.432857143,1.582857143,27.99571429,28.04571429,28.69,30.04428571,30.23,29.89714286,79.52142857,79.89142857,79.61285714,70.97,70.00714286,72.94857143,2
Polonnaruwa,276,2025-04-12,2025-04-18, 2025-04-12 to 2025-04-18,28.96,26.91,28.03428571,32.08,29.83,31.24142857,26.25,24.08,25.21285714,88.88,76.37,82.75,6.7,0.16,1.992857143,4,False,False,False,15,0.970941817,-0.239315664,6.267142857,11.56857143,2.764285714,3.86,7.344285714,7.03,27.58142857,26.86,27.56142857,27.08142857,26.54,26.70285714,84.14,80.99428571,82.57857143,86.03428571,83.34,83.44857143,0
Ratnapura,216,2024-02-17,2024-02-23, 2024-02-17 to 2024-02-23,26.47,24.99,25.70142857,31.2,29.96,30.51571429,23.45,20.7,22.06,88.28,83.69,85.87714286,1.87,0.02,0.527142857,2,False,True,False,7,0.748510748,0.663122658,0.53,1.391428571,4.874285714,2.182857143,1.148571429,23.29,24.56428571,24.24571429,25.04142857,23.93142857,23.78428571,24.33285714,86.21142857,85.71428571,87.57571429,84.51714286,86.02857143,91.08714286,3
Kandy,8,2020-02-22,2020-02-28, 2020-02-22 to 2020-02-28,24.98,24.02,24.60428571,30.69,28.48,29.91428571,22.52,19.21,20.85,88.02,80.29,84.28571429,2.24,0.0,0.46,2,False,True,False,8,0.822983866,0.568064747,1.982857143,0.887142857,0.008571429,0.001428571,3.558571429,0.998571429,23.65714286,23.47142857,22.98571429,22.31714286,24.24714286,22.47857143,84.49714286,85.88428571,86.90285714,85.88714286,90.11571429,86.89,0
