feature,mean_abs_shap_value
district_week_mean,1.4192996
target_roll_mean_2,1.2511178
target_roll_mean_4,1.1116846
target_lag_1,0.6577716
target_roll_max_2,0.42909575
target_roll_max_4,0.25114903
ratio_to_seasonal,0.25097477
target_lag_12,0.2496379
target_roll_min_2,0.21909912
target_roll_mean_8,0.17708835
PRECTOTCORR_avg_lag_4,0.15592135
T2M_MAX_min,0.13361727
RH2M_avg_lag_2,0.13114795
T2M_MAX_avg,0.1148971
excess_over_seasonal,0.114724204
target_roll_max_8,0.08705211
PRECTOTCORR_avg_lag_3,0.081744425
T2M_avg_lag_4,0.080668494
rain_hum_lag2,0.08054412
RH2M_avg_lag_3,0.07549681
PRECTOTCORR_avg_lag_6,0.07021936
target_roll_min_12,0.06951579
target_roll_std_4,0.06723448
target_lag_3,0.06700919
cos_week,0.062120564
PRECTOTCORR_min,0.061413966
target_roll_max_12,0.05950079
RH2M_avg_lag_6,0.058778852
target_lag_4,0.058704015
week_number,0.057754867
target_lag_8,0.05768613
T2M_avg_lag_5,0.055117954
late_dist_mean,0.051990148
target_roll_std_12,0.050119836
cum_rain_4w,0.04980641
target_roll_mean_12,0.047624953
target_lag_5,0.047228854
sin_week,0.046900973
heat_humidity,0.04539323
target_lag_6,0.044002175
target_roll_min_4,0.043366354
RH2M_avg_lag_1,0.041901108
target_roll_min_8,0.04065706
cum_rain_8w,0.03890239
T2M_avg_lag_1,0.037393313
T2M_MAX_max,0.03707478
target_roll_std_8,0.033735145
RH2M_max,0.03359222
target_lag_2,0.03156998
T2M_avg_lag_6,0.029564159
RH2M_avg,0.027636217
T2M_avg_lag_2,0.02477978
T2M_avg,0.022882883
T2M_min,0.020258013
monsoon_SW,0.007170631
monsoon_NE,0.003344167
