feature,mean_abs_shap_value
district_week_mean,0.5241913
target_roll_mean_4,0.10695008
target_roll_mean_2,0.09998117
target_roll_max_2,0.09644132
target_lag_1,0.08125754
target_roll_mean_8,0.07704042
target_roll_mean_12,0.07170851
late_dist_mean,0.06268079
target_roll_min_2,0.046488065
target_roll_std_8,0.04584029
target_lag_2,0.037918672
target_roll_max_4,0.03489731
target_roll_max_12,0.023913017
excess_over_seasonal,0.017157033
target_roll_std_4,0.010710312
ratio_to_seasonal,0.010582849
target_roll_min_8,0.008457077
target_roll_max_8,0.008444906
target_lag_3,0.008175799
target_trend_8,0.0077576744
cum_rain_8w,0.0048080315
PRECTOTCORR_avg_lag_5,0.0032332412
PRECTOTCORR_avg_lag_4,0.0023148146
RH2M_avg_lag_3,0.0017814161
target_trend_4,0.0016963116
week_number,0.0016060269
T2M_MAX_min,0.0015963813
PRECTOTCORR_avg_lag_3,0.001349477
target_lag_8,0.0012001634
sin_week,0.0010075585
RH2M_avg_lag_2,0.0008923019
T2M_max,0.0007836339
RH2M_avg,0.0006389727
T2M_min,0.000602316
T2M_avg_lag_2,0.00044132085
T2M_MIN_max,0.00040189808
T2M_avg_lag_3,0.00035588673
RH2M_avg_lag_6,0.00016344135
RH2M_avg_lag_5,9.839018e-05
T2M_avg_lag_6,3.5621757e-05
PRECTOTCORR_max,2.0605803e-05
T2M_MIN_avg,1.1336529e-05
cos_week,8.997695e-06
PRECTOTCORR_avg,4.968698e-06
T2M_MIN_min,4.707158e-06
RH2M_max,1.9269255e-06
PRECTOTCORR_avg_lag_6,6.6079098e-09
cum_rain_4w,6.0411263e-09
T2M_avg_lag_5,3.1262286e-09
month,2.0926625e-09
RH2M_min,0.0
T2M_avg_lag_4,0.0
RH2M_avg_lag_4,0.0
T2M_avg_lag_1,0.0
T2M_MAX_max,0.0
monsoon_NE,0.0
