district,week_id,start_date,end_date,Duration,T2M_max,T2M_min,T2M_avg,T2M_MAX_max,T2M_MAX_min,T2M_MAX_avg,T2M_MIN_max,T2M_MIN_min,T2M_MIN_avg,RH2M_max,RH2M_min,RH2M_avg,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_avg,month,monsoon_IM2,monsoon_NE,monsoon_SW,week_number,sin_week,cos_week,target,PRECTOTCORR_avg_lag_1,T2M_avg_lag_1,RH2M_avg_lag_1,PRECTOTCORR_avg_lag_2,T2M_avg_lag_2,RH2M_avg_lag_2,PRECTOTCORR_avg_lag_3,T2M_avg_lag_3,RH2M_avg_lag_3,PRECTOTCORR_avg_lag_4,T2M_avg_lag_4,RH2M_avg_lag_4,PRECTOTCORR_avg_lag_5,T2M_avg_lag_5,RH2M_avg_lag_5,PRECTOTCORR_avg_lag_6,T2M_avg_lag_6,RH2M_avg_lag_6
Ampara,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,22.63,22.63,22.63,22.63,22.63,22.63,22.63,22.63,22.63,98,98,98.0,0.6,0.6,0.6,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anuradhapura,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,22.15,22.15,22.15,22.15,22.15,22.15,22.15,22.15,22.15,98,98,98.0,0.0,0.0,0.0,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Badulla,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,21.59,97,97,97.0,0.0,0.0,0.0,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Batticaloa,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,94,94,94.0,0.2,0.2,0.2,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombo,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,23.92,23.92,23.92,24.99,24.99,24.99,23.92,23.92,23.92,96,96,96.0,0.26,0.26,0.26,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galle,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,23.04,97,97,97.0,8.66,8.66,8.66,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gampaha,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,15.12,96,96,96.0,0.77,0.77,0.77,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hambantota,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85,23.85,93,93,93.0,1.08,1.08,1.08,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaffna,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,26.57,82,82,82.0,0.0,0.0,0.0,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kalutara,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,100,100,100.0,2.84,2.84,2.84,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kandy,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,19.54,19.54,19.54,19.54,19.54,19.54,19.54,19.54,19.54,98,98,98.0,0.55,0.55,0.55,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kegalle,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,18.95,94,94,94.0,0.46,0.46,0.46,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kilinochchi,10,2025-03-03,2025-03-09, 2025-03-03 to 2025-03-09,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,24.21,94,94,94.0,0.12,0.12,0.12,3,0,1,0,10,0.9350162426854148,0.35460488704253557,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
